               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/Bishop_mAP,    metrics/King_mAP,    metrics/Pawn_mAP,    metrics/Rook_mAP,  metrics/Knight_mAP,   metrics/Queen_mAP,metrics/Bishop_mAP_50, metrics/King_mAP_50, metrics/Pawn_mAP_50, metrics/Rook_mAP_50,metrics/Knight_mAP_50,metrics/Queen_mAP_50
                  46,            0.060721,            0.075794,            0.037719,             0.70489,              0.2876,             0.20907,            0.092491,            0.057898,            0.040524,             0.04216,            0.012065,           0.0050648,           0.0050648,            0.032576,             0.35676,             0.11807,                   0,             0.02303,            0.024506,             0.20145,             0.66458,             0.23431,                   0,            0.095288,            0.058781
                  47,             0.06107,            0.089242,            0.035589,             0.73403,             0.29167,             0.36797,             0.17688,            0.052306,            0.036276,            0.041886,             0.01008,           0.0050797,           0.0050797,             0.25962,             0.38341,             0.35336,                   0,            0.027335,             0.03758,               0.395,             0.83406,             0.81374,                   0,            0.083339,            0.081679
                  48,            0.060664,            0.076036,            0.035078,             0.73403,             0.29167,             0.36797,             0.17688,            0.052306,            0.036276,            0.041886,           0.0080906,           0.0050906,           0.0050906,             0.25962,             0.38341,             0.35336,                   0,            0.027335,             0.03758,               0.395,             0.83406,             0.81374,                   0,            0.083339,            0.081679
                  49,            0.062135,            0.084049,            0.038913,             0.70421,             0.29167,             0.22347,             0.13109,            0.060905,            0.040363,            0.041679,           0.0060975,           0.0050975,           0.0050975,               0.138,             0.35407,             0.21493,                   0,            0.018718,             0.06085,             0.27833,             0.54978,             0.34343,                   0,            0.050148,             0.11913
                  50,            0.060322,            0.079783,            0.038336,             0.70421,             0.29167,             0.22347,             0.13109,            0.060905,            0.040363,            0.041679,             0.00505,             0.00505,             0.00505,               0.138,             0.35407,             0.21493,                   0,            0.018718,             0.06085,             0.27833,             0.54978,             0.34343,                   0,            0.050148,             0.11913
                  51,            0.074035,             0.12228,            0.039496,             0.83597,             0.32046,             0.46039,             0.19811,            0.053734,             0.03617,            0.041403,             0.00505,             0.00505,             0.00505,             0.29311,             0.29046,             0.34314,            0.098427,            0.080787,            0.082745,              0.5069,             0.73508,             0.95187,             0.24607,              0.1629,             0.15952
                  52,            0.062557,            0.091485,            0.035686,             0.83597,             0.32046,             0.46039,             0.19811,            0.053734,             0.03617,            0.041403,            0.004951,            0.004951,            0.004951,             0.29311,             0.29046,             0.34314,            0.098427,            0.080787,            0.082745,              0.5069,             0.73508,             0.95187,             0.24607,              0.1629,             0.15952
                  53,             0.06358,            0.086643,            0.036267,             0.82636,             0.29436,             0.47412,             0.23301,            0.047334,            0.034756,             0.04059,            0.004852,            0.004852,            0.004852,             0.34205,             0.36405,              0.4043,             0.16995,            0.062245,            0.055438,             0.43805,              0.7963,             0.93264,             0.27777,             0.14875,             0.25124
                  54,            0.049576,            0.089703,            0.039355,             0.82636,             0.29436,             0.47412,             0.23301,            0.047334,            0.034756,             0.04059,            0.004753,            0.004753,            0.004753,             0.34205,             0.36405,              0.4043,             0.16995,            0.062245,            0.055438,             0.43805,              0.7963,             0.93264,             0.27777,             0.14875,             0.25124
                  55,            0.048025,            0.077477,              0.0348,             0.85602,             0.26644,             0.50606,             0.16211,            0.055448,            0.039905,            0.040109,            0.004654,            0.004654,            0.004654,             0.16567,             0.13595,             0.32015,              0.1712,            0.049264,             0.13043,               0.595,             0.57554,             0.93306,             0.38235,             0.18713,             0.36326
                  56,            0.067493,             0.06967,              0.0389,             0.85602,             0.26644,             0.50606,             0.16211,            0.055448,            0.039905,            0.040109,            0.004555,            0.004555,            0.004555,             0.16567,             0.13595,             0.32015,              0.1712,            0.049264,             0.13043,               0.595,             0.57554,             0.93306,             0.38235,             0.18713,             0.36326
                  57,            0.069892,            0.070802,            0.037532,             0.80666,             0.29545,             0.40623,             0.17603,            0.053069,            0.041404,            0.039255,            0.004456,            0.004456,            0.004456,             0.30336,             0.18517,             0.27574,             0.12299,            0.040503,             0.12842,             0.48076,             0.48553,             0.72028,             0.24598,             0.14239,             0.36242
                  58,             0.05404,             0.11031,             0.03684,             0.80666,             0.29545,             0.40623,             0.17603,            0.053069,            0.041404,            0.039255,            0.004357,            0.004357,            0.004357,             0.30336,             0.18517,             0.27574,             0.12299,            0.040503,             0.12842,             0.48076,             0.48553,             0.72028,             0.24598,             0.14239,             0.36242
                  59,            0.053167,            0.077277,            0.032011,             0.85354,             0.33425,             0.49877,             0.33114,            0.052512,            0.039765,            0.038814,            0.004258,            0.004258,            0.004258,              0.5522,             0.48443,             0.60878,             0.28901,            0.032256,            0.020142,             0.81643,              0.7396,             0.92085,             0.41288,             0.05832,            0.044529
                  60,              0.0576,            0.098631,            0.035934,             0.85354,             0.33425,             0.49877,             0.33114,            0.052512,            0.039765,            0.038814,            0.004159,            0.004159,            0.004159,              0.5522,             0.48443,             0.60878,             0.28901,            0.032256,            0.020142,             0.81643,              0.7396,             0.92085,             0.41288,             0.05832,            0.044529
                  61,            0.056907,            0.089342,            0.037326,             0.78898,             0.30303,             0.56665,             0.35524,            0.047032,            0.039168,            0.038706,             0.00406,             0.00406,             0.00406,             0.42354,             0.46043,             0.62633,             0.53832,            0.059681,            0.023168,             0.69045,             0.80465,               0.995,               0.745,             0.11687,            0.047939
                  62,            0.055379,            0.064245,             0.03607,             0.78898,             0.30303,             0.56665,             0.35524,            0.047032,            0.039168,            0.038706,            0.003961,            0.003961,            0.003961,             0.42354,             0.46043,             0.62633,             0.53832,            0.059681,            0.023168,             0.69045,             0.80465,               0.995,               0.745,             0.11687,            0.047939
                  63,            0.055588,             0.09449,            0.037995,              0.8724,             0.36742,             0.62819,             0.34833,            0.040633,            0.034952,            0.037965,            0.003862,            0.003862,            0.003862,             0.51503,             0.45044,             0.43149,             0.48552,             0.16576,            0.041729,             0.81167,             0.84575,               0.995,             0.70214,             0.36266,            0.051904
                  64,            0.046695,            0.093845,            0.034714,              0.8724,             0.36742,             0.62819,             0.34833,            0.040633,            0.034952,            0.037965,            0.003763,            0.003763,            0.003763,             0.51503,             0.45044,             0.43149,             0.48552,             0.16576,            0.041729,             0.81167,             0.84575,               0.995,             0.70214,             0.36266,            0.051904
                  65,              0.0489,            0.076478,            0.035224,               0.872,             0.36641,             0.57397,               0.352,            0.058342,            0.038413,            0.037412,            0.003664,            0.003664,            0.003664,             0.57522,             0.49145,             0.54426,             0.44387,            0.041814,            0.015415,             0.80056,             0.80428,               0.995,             0.58982,             0.21901,            0.035177
                  66,            0.057124,            0.060862,            0.034526,               0.872,             0.36641,             0.57397,               0.352,            0.058342,            0.038413,            0.037412,            0.003565,            0.003565,            0.003565,             0.57522,             0.49145,             0.54426,             0.44387,            0.041814,            0.015415,             0.80056,             0.80428,               0.995,             0.58982,             0.21901,            0.035177
                  67,            0.060179,            0.088834,            0.035397,             0.87474,             0.35885,             0.62669,             0.29114,             0.04863,            0.035311,            0.036855,            0.003466,            0.003466,            0.003466,              0.2466,             0.34023,             0.58777,             0.33029,             0.20318,            0.038794,             0.79045,             0.92158,               0.995,             0.53778,             0.45401,            0.061336
                  68,             0.05427,            0.080974,            0.033828,             0.87474,             0.35885,             0.62669,             0.29114,             0.04863,            0.035311,            0.036855,            0.003367,            0.003367,            0.003367,              0.2466,             0.34023,             0.58777,             0.33029,             0.20318,            0.038794,             0.79045,             0.92158,               0.995,             0.53778,             0.45401,            0.061336
                  69,            0.052168,            0.077954,            0.033136,             0.90262,             0.35666,             0.64325,             0.42546,            0.041787,            0.033705,            0.036376,            0.003268,            0.003268,            0.003268,             0.64315,              0.5955,              0.6537,             0.42471,              0.2045,            0.031222,             0.80056,             0.96487,               0.995,             0.57115,             0.46569,            0.062236
                  70,            0.045475,            0.061061,            0.035647,             0.90262,             0.35666,             0.64325,             0.42546,            0.041787,            0.033705,            0.036376,            0.003169,            0.003169,            0.003169,             0.64315,              0.5955,              0.6537,             0.42471,              0.2045,            0.031222,             0.80056,             0.96487,               0.995,             0.57115,             0.46569,            0.062236
